problem_name,key_n,key_support,key_confidence
str-imm-fitb-def,4,4,1.0
var-fitb-6-mod,4,4,1.0
var-input-fitb-nl,4,4,1.0
file_obj_type_fitb,3,3,1.0
functRandom_fill1,3,3,1.0
funct_tuple_test_char,3,3,1.0
listMethod_fill1,3,3,1.0
plan9_fill_in,3,3,1.0
regex_not_greedy_char,3,3,1.0
str-slice-fitb-fruit,3,3,1.0
ut_fitb_test_class,3,3,1.0
ut_fitb_test_parent,3,3,1.0
var-state-fitb-assign,3,3,1.0
chapter_nine_glossary_one,2,2,1.0
chapter_nine_glossary_three,2,2,1.0
chapter_nine_glossary_two,2,2,1.0
file-try-fitb-python,2,2,1.0
file_pogil_line_count_type_returned,2,2,1.0
fsc_fitb_len_string,2,2,1.0
functType_fill1,2,2,1.0
funct_fitb_add_strings,2,2,1.0
funct_fitb_len_string,2,2,1.0
funct_fitb_pogil_initials_v2,2,2,1.0
funct_fitb_pogil_short_name,2,2,1.0
funct_string_methods2_dnd,2,2,1.0
funct_string_methods_dnd_v2,2,2,1.0
funct_tup_test_first,2,2,1.0
html_more_tag_def_dnd,2,2,1.0
html_start_tags_clicka,2,2,1.0
inheritance_extendclass,2,2,1.0
itLoops_fill1,2,2,1.0
iteration_glossary_two,2,2,1.0
listOb_dnd,2,2,1.0
question10_9_2,2,2,1.0
regex_digit_fitb,2,2,1.0
start_tag_xml_ca,2,2,1.0
var-input-fitb-int,2,2,1.0
varGlossary3,2,2,1.0
webSecurity_fill1,2,2,1.0
web_glossary1,2,2,1.0
02-fitb-6-mod,1,1,1.0
chapter_11_glossary_one,1,1,1.0
cndtnl-debug-fitb-weight,1,1,1.0
cndtnl-sc-dnd-terms,1,1,1.0
cndtnl-sc-fitb-guard,1,1,1.0
cond-dnd-glossary1,1,1,1.0
cond-dnd-glossary2,1,1,1.0
cond_dnd_pogil_boolean,1,1,1.0
cond_fitb_pogil_booltype,1,1,1.0
csv_file_stocks_min_close_fitb,1,1,1.0
dbSQL_fill,1,1,1.0
dbSQL_fill2,1,1,1.0
db_SQL_sel_more,1,1,1.0
db_SQL_three_types_of_select,1,1,1.0
db_SQLcommands_defs_dd,1,1,1.0
db_connection_vs_cursor_dd,1,1,1.0
db_dnd_concepts,1,1,1.0
db_fill_what,1,1,1.0
file-glossary,1,1,1.0
file-open-fitb-start,1,1,1.0
file-read-fitb-lines,1,1,1.0
file_ca_extension,1,1,1.0
file_ca_path,1,1,1.0
fsc_fitb_pogil_elif,1,1,1.0
fsc_fitb_pogil_initials_v2,1,1,1.0
functDebug_look,1,1,1.0
functDebug_spacing,1,1,1.0
funct_dict_num_t,1,1,1.0
funct_fitb_convert_int_string,1,1,1.0
funct_fitb_last_three_char_slice,1,1,1.0
funct_fitb_start_slice_def,1,1,1.0
funct_fitb_string_method_pred,1,1,1.0
funct_fitb_three_char_slice,1,1,1.0
funct_glossary_two,1,1,1.0
funct_ll_fitb_slice_def_first,1,1,1.0
funct_ll_last_index,1,1,1.0
funct_ll_list_char,1,1,1.0
funct_ll_list_check_start_last_line_v2,1,1,1.0
funct_ll_list_type,1,1,1.0
funct_tup_test_last,1,1,1.0
funct_tuple_zip_first_print_fitb,1,1,1.0
function1_test1,1,1,1.0
function1_test2,1,1,1.0
function2_test1,1,1,1.0
function2_test2,1,1,1.0
function3_test1,1,1,1.0
function3_test2,1,1,1.0
function4_test1,1,1,1.0
function4_test2,1,1,1.0
function5_test1,1,1,1.0
function5_test2,1,1,1.0
html_end_tags_clicka,1,1,1.0
http_rules,1,1,1.0
intro-bb-fitb-CDout,1,1,1.0
listDebug_fillMethods,1,1,1.0
listOb_fill1,1,1,1.0
list_glossary1,1,1,1.0
network_retrieve_fitb,1,1,1.0
question10_8_1,1,1,1.0
regex_char_classes2_dnd,1,1,1.0
regex_quant_dnd,1,1,1.0
regex_quant_v2_dnd,1,1,1.0
str-debug-fitb-error,1,1,1.0
str-debug-fitb-string,1,1,1.0
str-seq-fitb-index,1,1,1.0
turtle_shape_square_fitb,1,1,1.0
var-comments-fitb-symbol,1,1,1.0
var-debug-fitb-fix,1,1,1.0
var-expressions-mc-click,1,1,1.0
var-mnemonic-dnd-variable,1,1,1.0
var-mod-dnd-division,1,1,1.0
webLoop_fill,1,1,1.0
webParseXML_fill1,1,1,1.0
xml_book_end_tags_clicka,1,1,1.0
xml_food_tag_text_clicka,1,1,1.0
xml_person_attributes_clicka,1,1,1.0
xml_person_self_closing_tags_clicka,1,1,1.0
