semester_raw,problem_name,total_rows,total_students,exam_rows,exam_students,midterm_n,midterm,exam_ratio,student_ratio,looks_midtermish,obvious_false_positive
F21,mid_2_sorted_num_mc,299,103,295.0,102.0,1.0,mid2,0.9866220735785953,0.9902912621359223,True,False
F21,mid_2_soup_get_dict_img_pp,2384,103,2351.0,102.0,1.0,mid2,0.9861577181208053,0.9902912621359223,True,False
F21,mid_2_soup_total_nums_in_div_with_class_pp,1141,102,1127.0,101.0,1.0,mid2,0.9877300613496932,0.9901960784313726,True,False
F21,mid_2_two_list_to_dict,3482,102,3476.0,102.0,1.0,mid2,0.9982768523836876,1.0,True,False
F21,mid_2_unit_test_mc,403,103,398.0,102.0,1.0,mid2,0.9875930521091811,0.9902912621359223,True,False
F21,midterm_2_practice_findall_no_cg_fib,464,103,461.0,102.0,1.0,mid2,0.9935344827586207,0.9902912621359223,True,False
F21,midterm_2_reg_ex_fill_v2,557,103,546.0,102.0,1.0,mid2,0.9802513464991023,0.9902912621359223,True,False
F21,q_midf21_arg_defaults,410,103,410.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_call_parent_method,1270,103,1270.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_class_attibute_or_method,341,103,341.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_class_car_test_pp,2598,103,2598.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_class_pet_which_method,366,103,366.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_class_song_pp,1289,102,1289.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_cnd,303,103,303.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_combo_str_ac,11704,103,11698.0,103.0,1.0,mid1,0.9994873547505126,1.0,True,False
F21,q_midf21_cond_weather_ac,3895,103,3893.0,103.0,1.0,mid1,0.9994865211810012,1.0,True,False
F21,q_midf21_curr_obj_name_fitb,559,103,559.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_dog_breed_types,374,103,374.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_get_index_duplicate_ac,5548,101,5548.0,101.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_git,269,103,269.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_git_num2,323,103,323.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_immutable?,419,103,419.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_keyword,397,103,397.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_less_than_dict_ac,4892,102,4892.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_library_and_book,309,103,309.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_list_append,337,103,337.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_method_on_create_fitb,522,103,522.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_no_return_fitb,563,103,563.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_party_hats_pp,1121,102,1121.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_several_ifs_fitb,640,103,640.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_slicing_str_mc,328,103,328.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_terminal_comm,336,103,336.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_total_at_odd_pos_ac,5917,103,5916.0,103.0,1.0,mid1,0.9998309954368768,1.0,True,False
F21,q_midf21_tuple_not_error,330,103,330.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_turtle_draw_E_pp,2375,102,2375.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_two_list_to_dict_pp,1600,102,1600.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,q_midf21_while_and,344,102,344.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,question_regexdate_ac,6309,103,6304.0,102.0,1.0,mid2,0.9992074813758123,0.9902912621359223,False,False
F21,regex_digits_mc,325,103,319.0,102.0,1.0,mid2,0.9815384615384616,0.9902912621359223,False,False
F21,regex_ranges_ac,10366,103,10315.0,102.0,1.0,mid2,0.995080069457843,0.9902912621359223,False,False
F21,string_number_sort_mc,307,103,301.0,102.0,1.0,mid2,0.9804560260586319,0.9902912621359223,False,False
F21,strip_mc,276,103,272.0,102.0,1.0,mid2,0.9855072463768116,0.9902912621359223,False,False
F22,Mid1-Fall22-1.5timeWithPause,5,1,4.0,1.0,1.0,mid1,0.8,1.0,True,False
F22,Mid2-Fall22-15Time-With-Pause,16,3,8.0,3.0,1.0,mid2,0.5,1.0,True,False
F22,beautifulsoup_fill,432,145,432.0,145.0,1.0,mid2,1.0,1.0,False,False
F22,file_get_cat_pp,1885,144,1885.0,144.0,1.0,mid2,1.0,1.0,False,False
F22,get_min_day_ac,10422,145,10422.0,145.0,1.0,mid2,1.0,1.0,False,False
F22,html_pp,2539,145,2539.0,145.0,1.0,mid2,1.0,1.0,False,False
F22,mid1-fall22-ac28,3389,147,3307.0,145.0,1.0,mid1,0.9758040719976394,0.9863945578231292,True,False
F22,mid1-fall22-ac29,5459,146,5428.0,145.0,1.0,mid1,0.994321304268181,0.9931506849315068,True,False
F22,mid1-fall22-ac30,4881,147,4740.0,145.0,1.0,mid1,0.9711124769514444,0.9863945578231292,True,False
F22,mid1-fall22-ac31,4253,146,4203.0,145.0,1.0,mid1,0.9882435927580532,0.9931506849315068,True,False
F22,mid1-fall22-fitb17,457,147,436.0,144.0,1.0,mid1,0.9540481400437637,0.9795918367346939,True,False
F22,mid1-fall22-fitb18,474,147,448.0,144.0,1.0,mid1,0.9451476793248945,0.9795918367346939,True,False
F22,mid1-fall22-fitb19,465,146,450.0,144.0,1.0,mid1,0.967741935483871,0.9863013698630136,True,False
F22,mid1-fall22-fitb20,450,147,428.0,144.0,1.0,mid1,0.9511111111111111,0.9795918367346939,True,False
F22,mid1-fall22-fitb21,485,147,442.0,144.0,1.0,mid1,0.911340206185567,0.9795918367346939,True,False
F22,mid1-fall22-mcq1,413,148,403.0,144.0,1.0,mid1,0.9757869249394673,0.972972972972973,True,False
F22,mid1-fall22-mcq10,375,147,371.0,144.0,1.0,mid1,0.9893333333333333,0.9795918367346939,True,False
F22,mid1-fall22-mcq11,565,147,551.0,144.0,1.0,mid1,0.9752212389380531,0.9795918367346939,True,False
F22,mid1-fall22-mcq12,440,147,423.0,144.0,1.0,mid1,0.9613636363636363,0.9795918367346939,True,False
F22,mid1-fall22-mcq13,450,147,436.0,144.0,1.0,mid1,0.9688888888888889,0.9795918367346939,True,False
F22,mid1-fall22-mcq14,481,147,462.0,144.0,1.0,mid1,0.9604989604989606,0.9795918367346939,True,False
F22,mid1-fall22-mcq15,465,147,452.0,144.0,1.0,mid1,0.9720430107526882,0.9795918367346939,True,False
F22,mid1-fall22-mcq16,398,146,376.0,143.0,1.0,mid1,0.9447236180904522,0.9794520547945206,True,False
F22,mid1-fall22-mcq2,389,148,381.0,144.0,1.0,mid1,0.9794344473007712,0.972972972972973,True,False
F22,mid1-fall22-mcq3,347,148,336.0,144.0,1.0,mid1,0.968299711815562,0.972972972972973,True,False
F22,mid1-fall22-mcq4,400,147,395.0,144.0,1.0,mid1,0.9875,0.9795918367346939,True,False
F22,mid1-fall22-mcq5,401,148,391.0,144.0,1.0,mid1,0.9750623441396509,0.972972972972973,True,False
F22,mid1-fall22-mcq6,370,147,363.0,144.0,1.0,mid1,0.981081081081081,0.9795918367346939,True,False
F22,mid1-fall22-mcq7,426,147,417.0,144.0,1.0,mid1,0.9788732394366197,0.9795918367346939,True,False
F22,mid1-fall22-mcq8,420,147,414.0,144.0,1.0,mid1,0.9857142857142858,0.9795918367346939,True,False
F22,mid1-fall22-mcq9,383,147,379.0,144.0,1.0,mid1,0.9895561357702349,0.9795918367346939,True,False
F22,mid1-fall22-pp22,1616,147,1559.0,144.0,1.0,mid1,0.9647277227722773,0.9795918367346939,True,False
F22,mid1-fall22-pp23,1748,147,1695.0,144.0,1.0,mid1,0.9696796338672768,0.9795918367346939,True,False
F22,mid1-fall22-pp24,2753,147,2676.0,144.0,1.0,mid1,0.9720305121685434,0.9795918367346939,True,False
F22,mid1-fall22-pp25,2480,147,2413.0,144.0,1.0,mid1,0.972983870967742,0.9795918367346939,True,False
F22,mid1-fall22-pp26,1889,147,1839.0,144.0,1.0,mid1,0.9735309687665431,0.9795918367346939,True,False
F22,mid1-fall22-pp27,1827,147,1789.0,144.0,1.0,mid1,0.9792008757525998,0.9795918367346939,True,False
F22,mid1_f22_class_attribute,388,148,380.0,144.0,1.0,mid1,0.979381443298969,0.972972972972973,True,False
F22,mid1_f22_tuple_index,399,147,377.0,144.0,1.0,mid1,0.9448621553884712,0.9795918367346939,True,False
F22,mid2-f22-get-month-counts-ac,8065,145,8065.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_email_address_regex,10753,145,10753.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_nested_dict_ret_11_mc,373,146,369.0,145.0,1.0,mid2,0.9892761394101877,0.9931506849315068,True,False
F22,mid2_fa22_q10_sq,413,146,412.0,145.0,1.0,mid2,0.9975786924939467,0.9931506849315068,True,False
F22,mid2_fa22_q11_sq,562,146,561.0,145.0,1.0,mid2,0.998220640569395,0.9931506849315068,True,False
F22,mid2_fa22_q12_sq,460,145,459.0,144.0,1.0,mid2,0.9978260869565218,0.993103448275862,True,False
F22,mid2_fa22_q13_sq,391,146,389.0,145.0,1.0,mid2,0.9948849104859335,0.9931506849315068,True,False
F22,mid2_fa22_q14_sq,429,146,415.0,145.0,1.0,mid2,0.9673659673659674,0.9931506849315068,True,False
F22,mid2_fa22_q15_sq,493,145,493.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q16_sq,369,145,369.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q17_sq,381,146,376.0,145.0,1.0,mid2,0.9868766404199475,0.9931506849315068,True,False
F22,mid2_fa22_q18_sq,468,146,457.0,145.0,1.0,mid2,0.9764957264957265,0.9931506849315068,True,False
F22,mid2_fa22_q19_sq,464,145,464.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q1_sq,400,146,397.0,145.0,1.0,mid2,0.9925,0.9931506849315068,True,False
F22,mid2_fa22_q20_sq,432,145,432.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q21_sq,428,145,428.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q22_sq,490,145,490.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q23_sq,397,145,397.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q24_sq,404,144,404.0,144.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q25_sq,2041,145,2041.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q26_sq,1475,145,1475.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q27_sq,2539,145,2539.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q28_sq,1885,144,1885.0,144.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q29_sq,1541,145,1541.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q2_sq,372,146,369.0,145.0,1.0,mid2,0.9919354838709677,0.9931506849315068,True,False
F22,mid2_fa22_q30_sq,7422,145,7422.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q31_sq,7026,145,7026.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q32_sq,5443,145,5443.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_q3_sq,424,146,423.0,145.0,1.0,mid2,0.9976415094339622,0.9931506849315068,True,False
F22,mid2_fa22_q4_sq,500,146,499.0,145.0,1.0,mid2,0.998,0.9931506849315068,True,False
F22,mid2_fa22_q5_sq,441,146,439.0,145.0,1.0,mid2,0.9954648526077098,0.9931506849315068,True,False
F22,mid2_fa22_q6_sq,491,146,486.0,145.0,1.0,mid2,0.9898167006109979,0.9931506849315068,True,False
F22,mid2_fa22_q7_sq,419,146,418.0,145.0,1.0,mid2,0.9976133651551312,0.9931506849315068,True,False
F22,mid2_fa22_q8_sq,430,146,428.0,145.0,1.0,mid2,0.9953488372093023,0.9931506849315068,True,False
F22,mid2_fa22_q9_sq,374,145,370.0,144.0,1.0,mid2,0.9893048128342246,0.993103448275862,True,False
F22,mid2_fa22_terminal,431,146,415.0,145.0,1.0,mid2,0.962877030162413,0.9931506849315068,True,False
F22,mid2_fa22_test_cases_fitb,428,145,428.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_fa22_unittest_pp,2041,145,2041.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_w22_find_all_wb_fitb,490,145,490.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid2_win22_bs_parent_child,441,146,439.0,145.0,1.0,mid2,0.9954648526077098,0.9931506849315068,True,False
F22,mid2_win22_fileEx_write_mc,374,145,370.0,144.0,1.0,mid2,0.9893048128342246,0.993103448275862,True,False
F22,mid2_win22_pi_soup_find_mc,390,146,389.0,145.0,1.0,mid2,0.9974358974358974,0.9931506849315068,True,False
F22,mid2_win22_regex_num_found_s_mc,400,146,397.0,145.0,1.0,mid2,0.9925,0.9931506849315068,True,False
F22,mid_2_dict_sorting_mc,491,146,486.0,145.0,1.0,mid2,0.9898167006109979,0.9931506849315068,True,False
F22,mid_2_fa22_unittest_mc,562,146,561.0,145.0,1.0,mid2,0.998220640569395,0.9931506849315068,True,False
F22,mid_2_git_move_to_github_mc,369,145,369.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_html_attr_fill,404,144,404.0,144.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_html_attributes_mc,429,146,428.0,145.0,1.0,mid2,0.9976689976689976,0.9931506849315068,True,False
F22,mid_2_html_true_mc,381,146,376.0,145.0,1.0,mid2,0.9868766404199475,0.9931506849315068,True,False
F22,mid_2_q11_regex_mc,464,145,464.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_q12_debug_mc,468,146,457.0,145.0,1.0,mid2,0.9764957264957265,0.9931506849315068,True,False
F22,mid_2_q1_split_v3_mc,419,146,418.0,145.0,1.0,mid2,0.9976133651551312,0.9931506849315068,True,False
F22,mid_2_sorted_num_mc,413,146,412.0,145.0,1.0,mid2,0.9975786924939467,0.9931506849315068,True,False
F22,mid_2_soup_get_dict_img_pp,1541,145,1541.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_soup_total_nums_in_div_with_class_pp,1475,145,1475.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_unit_test_mc,493,145,493.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,mid_2_w22_nested_dict_fitb,397,145,397.0,145.0,1.0,mid2,1.0,1.0,True,False
F22,prestest_is_ascending_ac,7999,146,7948.0,145.0,1.0,mid1,0.9936242030253781,0.9931506849315068,False,False
F22,q_mid1_f22_str_slicing,402,148,392.0,144.0,1.0,mid1,0.9751243781094527,0.972972972972973,True,False
F22,q_mid1f22_less_dict,7372,147,7165.0,145.0,1.0,mid1,0.9719207813347802,0.9863945578231292,True,False
F22,q_mid1f22_which_assert,426,147,416.0,144.0,1.0,mid1,0.9765258215962441,0.9795918367346939,True,False
F22,q_midf21_call_parent_method,485,147,442.0,144.0,1.0,mid1,0.911340206185567,0.9795918367346939,True,False
F22,q_midf21_class_car_test_pp,2765,147,2676.0,144.0,1.0,mid1,0.9678119349005425,0.9795918367346939,True,False
F22,q_midf21_class_song_pp,1887,147,1837.0,144.0,1.0,mid1,0.9735029146793853,0.9795918367346939,True,False
F22,q_midf21_cnd,375,147,371.0,144.0,1.0,mid1,0.9893333333333333,0.9795918367346939,True,False
F22,q_midf21_combo_price_ac_v2,6680,146,6608.0,145.0,1.0,mid1,0.9892215568862276,0.9931506849315068,True,False
F22,q_midf21_cond_weather_ac,5370,147,5055.0,145.0,1.0,mid1,0.9413407821229051,0.9863945578231292,True,False
F22,q_midf21_create_dog_class,565,147,551.0,144.0,1.0,mid1,0.9752212389380531,0.9795918367346939,True,False
F22,q_midf21_curr_obj_name_fitb,449,147,428.0,144.0,1.0,mid1,0.9532293986636972,0.9795918367346939,True,False
F22,q_midf21_git,345,148,335.0,144.0,1.0,mid1,0.9710144927536232,0.972972972972973,True,False
F22,q_midf21_immutable?,478,147,451.0,144.0,1.0,mid1,0.9435146443514645,0.9795918367346939,True,False
F22,q_midf21_list_append,370,147,363.0,144.0,1.0,mid1,0.981081081081081,0.9795918367346939,True,False
F22,q_midf21_method_on_create_fitb,458,147,436.0,144.0,1.0,mid1,0.9519650655021834,0.9795918367346939,True,False
F22,q_midf21_no_return_fitb,488,146,450.0,144.0,1.0,mid1,0.9221311475409836,0.9863013698630136,True,False
F22,q_midf21_party_hats_pp,1620,147,1561.0,144.0,1.0,mid1,0.9635802469135802,0.9795918367346939,True,False
F22,q_midf21_several_ifs_fitb,475,147,448.0,144.0,1.0,mid1,0.9431578947368421,0.9795918367346939,True,False
F22,q_midf21_slicing_str_mc,383,147,379.0,144.0,1.0,mid1,0.9895561357702349,0.9795918367346939,True,False
F22,q_midf21_tuple_not_error,400,147,395.0,144.0,1.0,mid1,0.9875,0.9795918367346939,True,False
F22,q_midf21_turtle_draw_E_pp,2478,147,2411.0,144.0,1.0,mid1,0.9729620661824052,0.9795918367346939,True,False
F22,q_midf21_two_list_to_dict_pp,1826,147,1789.0,144.0,1.0,mid1,0.97973713033954,0.9795918367346939,True,False
F22,q_midf21_while_and,440,147,423.0,144.0,1.0,mid1,0.9613636363636363,0.9795918367346939,True,False
F22,q_midf22_class_pet_which_method,481,147,462.0,144.0,1.0,mid1,0.9604989604989606,0.9795918367346939,True,False
F22,q_midf22_if_else,449,147,435.0,144.0,1.0,mid1,0.9688195991091314,0.9795918367346939,True,False
F22,q_midw22_album_and_song,419,147,414.0,144.0,1.0,mid1,0.9880668257756563,0.9795918367346939,True,False
F22,q_midw22_loop_controls_mcq,413,148,403.0,144.0,1.0,mid1,0.9757869249394673,0.972972972972973,True,False
F22,regex_digits_mc,500,146,499.0,145.0,1.0,mid2,0.998,0.9931506849315068,False,False
F22,strip_mc,424,146,423.0,145.0,1.0,mid2,0.9976415094339622,0.9931506849315068,False,False
F23,Mid1-Fall23-Timed-140-Minutes,3,1,2.0,1.0,1.0,mid1,0.6666666666666666,1.0,True,False
F23,Mid2-Fall23-Timed-140mim,10,1,8.0,1.0,1.0,mid2,0.8,1.0,True,False
